0 0:0:0, ,3.62,-7.96,79.60, ,0.00,0.20,-2.00, ,3.60,7.68,76.80
0 0:0:8, ,3.82,-8.36,83.60, ,0.00,0.00,0.00, ,3.76,8.04,80.40
0 0:0:16, ,3.80,-8.32,83.20, ,0.00,0.00,0.00, ,3.74,8.04,80.40
0 0:0:24, ,3.68,-8.08,80.80, ,0.00,0.00,0.00, ,3.62,7.76,77.60
0 0:0:32, ,3.77,-8.24,82.40, ,0.00,0.00,0.00, ,3.71,7.96,79.60
0 0:0:40, ,3.70,-8.12,81.20, ,0.00,0.00,0.00, ,3.65,7.84,78.40
0 0:0:48, ,3.74,-8.20,82.00, ,0.00,0.00,0.00, ,3.68,7.88,78.80
0 0:0:56, ,3.76,-8.24,82.40, ,0.00,0.00,0.00, ,3.70,7.96,79.60
0 0:1:4, ,3.74,-8.20,82.00, ,0.00,0.00,0.00, ,3.68,7.92,79.20
0 0:1:12, ,3.74,-8.20,82.00, ,0.00,0.00,0.00, ,3.68,7.92,79.20
0 0:1:20, ,3.73,-8.20,82.00, ,0.00,0.00,0.00, ,3.67,7.88,78.80
0 0:1:28, ,3.76,-8.24,82.40, ,0.00,0.00,0.00, ,3.70,7.96,79.60
0 0:1:36, ,3.77,-8.28,82.80, ,0.00,0.00,0.00, ,3.71,8.00,80.00
0 0:1:44, ,3.79,-8.32,83.20, ,0.00,0.00,0.00, ,3.74,8.04,80.40
0 0:1:52, ,3.78,-8.32,83.20, ,0.00,0.00,0.00, ,3.73,8.00,80.00
0 0:2:0, ,3.78,-8.32,83.20, ,0.00,0.00,0.00, ,3.73,8.00,80.00
0 0:2:8, ,3.77,-8.28,82.80, ,0.00,0.00,0.00, ,3.71,7.96,79.60
0 0:2:16, ,3.77,-8.28,82.80, ,0.00,0.00,0.00, ,3.71,7.96,79.60
0 0:2:24, ,3.77,-8.28,82.80, ,0.00,0.00,0.00, ,3.71,7.96,79.60
0 0:2:32, ,3.73,-8.20,82.00, ,0.00,0.00,0.00, ,3.68,7.92,79.20
0 0:2:40, ,3.70,-8.12,81.20, ,0.00,0.00,0.00, ,3.65,7.84,78.40
0 0:2:48, ,3.70,-8.12,81.20, ,0.00,0.00,0.00, ,3.65,7.84,78.40
0 0:2:56, ,3.70,-8.12,81.20, ,0.00,0.00,0.00, ,3.65,7.84,78.40
0 0:3:4, ,3.82,-8.40,84.00, ,0.00,0.00,0.00, ,3.76,8.08,80.80
0 0:3:12, ,3.82,-8.40,84.00, ,0.00,0.00,0.00, ,3.76,8.08,80.80
0 0:3:20, ,3.82,-8.36,83.60, ,0.00,0.00,0.00, ,3.76,8.08,80.80
0 0:3:28, ,3.82,-8.40,84.00, ,0.00,0.00,0.00, ,3.76,8.08,80.80
0 0:3:36, ,3.82,-8.40,84.00, ,0.00,0.00,0.00, ,3.76,8.08,80.80
0 0:3:44, ,3.82,-8.40,84.00, ,0.00,0.00,0.00, ,3.77,8.08,80.80
0 0:3:52, ,3.82,-8.40,84.00, ,0.00,0.00,0.00, ,3.77,8.08,80.80
0 0:4:0, ,3.82,-8.40,84.00, ,0.00,0.00,0.00, ,3.77,8.08,80.80
0 0:4:8, ,3.82,-8.40,84.00, ,0.00,0.00,0.00, ,3.77,8.08,80.80
0 0:4:16, ,3.82,-8.40,84.00, ,0.00,0.00,0.00, ,3.77,8.08,80.80
0 0:4:24, ,3.82,-8.40,84.00, ,0.00,0.00,0.00, ,3.77,8.08,80.80
0 0:4:32, ,3.82,-8.40,84.00, ,0.00,0.00,0.00, ,3.77,8.08,80.80
0 0:4:40, ,3.82,-8.40,84.00, ,0.00,0.00,0.00, ,3.77,8.08,80.80
0 0:4:48, ,3.82,-8.40,84.00, ,0.00,0.00,0.00, ,3.77,8.08,80.80
0 0:4:56, ,3.82,-8.40,84.00, ,0.00,0.00,0.00, ,3.77,8.08,80.80
0 0:5:4, ,3.82,-8.40,84.00, ,0.00,0.00,0.00, ,3.77,8.12,81.20
0 0:5:12, ,3.82,-8.40,84.00, ,0.00,0.00,0.00, ,3.77,8.08,80.80
0 0:5:20, ,3.82,-8.40,84.00, ,0.00,0.00,0.00, ,3.77,8.08,80.80
0 0:5:28, ,3.82,-8.40,84.00, ,0.00,0.00,0.00, ,3.77,8.12,81.20
0 0:5:36, ,3.82,-8.40,84.00, ,0.00,0.00,0.00, ,3.77,8.12,81.20
0 0:5:44, ,3.82,-8.40,84.00, ,0.00,0.00,0.00, ,3.77,8.12,81.20
0 0:5:52, ,3.82,-8.40,84.00, ,0.00,0.00,0.00, ,3.77,8.12,81.20
0 0:6:0, ,3.82,-8.40,84.00, ,0.00,0.00,0.00, ,3.77,8.12,81.20
0 0:6:8, ,3.82,-8.40,84.00, ,0.00,0.00,0.00, ,3.77,8.08,80.80
