0 0:7:4, ,3.47,52.76,-527.60, ,11.38,32.24,-322.40, ,3.79,24.88,248.80
0 0:7:12, ,3.48,52.68,-526.80, ,11.39,32.24,-322.40, ,3.80,24.92,249.20
0 0:7:20, ,3.48,52.64,-526.40, ,11.38,32.20,-322.00, ,3.80,24.88,248.80
0 0:7:28, ,3.48,52.56,-525.60, ,11.38,32.16,-321.60, ,3.80,24.88,248.80
0 0:7:36, ,3.48,52.52,-525.20, ,11.38,32.12,-321.20, ,3.79,24.88,248.80
0 0:7:44, ,3.48,52.44,-524.40, ,11.39,32.12,-321.20, ,3.80,24.92,249.20
0 0:7:52, ,3.48,52.40,-524.00, ,11.38,32.08,-320.80, ,3.80,24.88,248.80
0 0:8:0, ,3.48,52.32,-523.20, ,11.38,32.04,-320.40, ,3.79,24.88,248.80
0 0:8:8, ,3.48,52.24,-522.40, ,11.38,32.00,-320.00, ,3.79,24.88,248.80
0 0:8:16, ,3.48,52.20,-522.00, ,11.38,32.00,-320.00, ,3.79,24.88,248.80
0 0:8:24, ,3.48,52.16,-521.60, ,11.39,32.00,-320.00, ,3.80,24.92,249.20
0 0:8:32, ,3.49,52.12,-521.20, ,11.39,32.00,-320.00, ,3.80,24.92,249.20
0 0:8:40, ,3.48,52.08,-520.80, ,11.39,31.96,-319.60, ,3.80,24.88,248.80
0 0:8:48, ,3.49,52.04,-520.40, ,11.39,31.96,-319.60, ,3.80,24.92,249.20
0 0:8:56, ,3.48,51.96,-519.60, ,11.39,31.92,-319.20, ,3.80,24.88,248.80
0 0:9:4, ,3.48,51.92,-519.20, ,11.38,31.88,-318.80, ,3.79,24.88,248.80
0 0:9:12, ,3.49,51.88,-518.80, ,11.39,31.88,-318.80, ,3.80,24.92,249.20
0 0:9:20, ,3.48,51.84,-518.40, ,11.38,31.88,-318.80, ,3.79,24.88,248.80
0 0:9:28, ,3.48,51.80,-518.00, ,11.38,31.84,-318.40, ,3.79,24.88,248.80
0 0:9:36, ,3.48,51.72,-517.20, ,11.38,31.80,-318.00, ,3.79,24.88,248.80
0 0:9:44, ,3.49,51.68,-516.80, ,11.39,31.80,-318.00, ,3.80,24.92,249.20
0 0:9:52, ,3.49,51.64,-516.40, ,11.39,31.80,-318.00, ,3.80,24.88,248.80
0 0:10:0, ,3.49,51.60,-516.00, ,11.40,31.76,-317.60, ,3.80,24.92,249.20
0 0:10:8, ,3.49,51.56,-515.60, ,11.39,31.72,-317.20, ,3.80,24.88,248.80
0 0:10:16, ,3.49,51.48,-514.80, ,11.39,31.72,-317.20, ,3.80,24.92,249.20
0 0:10:24, ,3.49,51.44,-514.40, ,11.39,31.72,-317.20, ,3.80,24.92,249.20
0 0:10:32, ,3.50,51.40,-514.00, ,11.40,31.68,-316.80, ,3.80,24.92,249.20
0 0:10:40, ,3.50,51.32,-513.20, ,11.40,31.68,-316.80, ,3.80,24.92,249.20
0 0:10:48, ,3.49,51.28,-512.80, ,11.39,31.64,-316.40, ,3.80,24.92,249.20
0 0:10:56, ,3.50,51.28,-512.80, ,11.40,31.64,-316.40, ,3.81,24.92,249.20
0 0:11:4, ,3.50,51.20,-512.00, ,11.40,31.60,-316.00, ,3.80,24.92,249.20
0 0:11:12, ,3.50,51.16,-511.60, ,11.40,31.60,-316.00, ,3.80,24.92,249.20
0 0:11:20, ,3.50,51.16,-511.60, ,11.40,31.60,-316.00, ,3.80,24.92,249.20
0 0:11:28, ,3.50,51.08,-510.80, ,11.40,31.56,-315.60, ,3.80,24.92,249.20
0 0:11:36, ,3.50,51.04,-510.40, ,11.40,31.56,-315.60, ,3.80,24.92,249.20
0 0:11:44, ,3.50,51.00,-510.00, ,11.40,31.52,-315.20, ,3.80,24.92,249.20
0 0:11:52, ,3.49,50.96,-509.60, ,11.39,31.52,-315.20, ,3.80,24.92,249.20
0 0:12:0, ,3.49,50.92,-509.20, ,11.39,31.48,-314.80, ,3.80,24.92,249.20
0 0:12:8, ,3.50,50.88,-508.80, ,11.40,31.48,-314.80, ,3.81,24.92,249.20
0 0:12:16, ,3.50,50.84,-508.40, ,11.40,31.44,-314.40, ,3.81,24.92,249.20
0 0:12:24, ,3.50,50.80,-508.00, ,11.40,31.44,-314.40, ,3.80,24.92,249.20
0 0:12:32, ,3.49,50.76,-507.60, ,11.39,31.40,-314.00, ,3.80,24.88,248.80
0 0:12:40, ,3.50,50.72,-507.20, ,11.39,31.40,-314.00, ,3.80,24.92,249.20
0 0:12:48, ,3.50,50.68,-506.80, ,11.40,31.40,-314.00, ,3.80,24.92,249.20
0 0:12:56, ,3.50,50.68,-506.80, ,11.40,31.40,-314.00, ,3.81,24.92,249.20
0 0:13:4, ,3.50,50.64,-506.40, ,11.40,31.36,-313.60, ,3.80,24.92,249.20
0 0:13:12, ,3.50,50.60,-506.00, ,11.40,31.36,-313.60, ,3.80,24.92,249.20
0 0:13:20, ,3.50,50.56,-505.60, ,11.39,31.32,-313.20, ,3.80,24.92,249.20
0 0:13:28, ,3.50,50.52,-505.20, ,11.39,31.32,-313.20, ,3.80,24.92,249.20
0 0:13:36, ,3.50,50.48,-504.80, ,11.40,31.28,-312.80, ,3.80,24.92,249.20
0 0:13:44, ,3.50,50.44,-504.40, ,11.40,31.28,-312.80, ,3.80,24.92,249.20
0 0:13:52, ,3.50,50.40,-504.00, ,11.40,31.28,-312.80, ,3.81,24.92,249.20
0 0:14:0, ,3.50,50.36,-503.60, ,11.40,31.24,-312.40, ,3.80,24.92,249.20
0 0:14:8, ,3.50,50.32,-503.20, ,11.40,31.24,-312.40, ,3.81,24.96,249.60
0 0:14:16, ,3.50,50.28,-502.80, ,11.40,31.20,-312.00, ,3.80,24.92,249.20
0 0:14:24, ,3.50,50.28,-502.80, ,11.40,31.20,-312.00, ,3.81,24.92,249.20
0 0:14:32, ,3.50,50.24,-502.40, ,11.40,31.20,-312.00, ,3.80,24.92,249.20
0 0:14:40, ,3.50,50.20,-502.00, ,11.40,31.20,-312.00, ,3.81,24.96,249.60
0 0:14:48, ,3.50,50.16,-501.60, ,11.40,31.16,-311.60, ,3.81,24.92,249.20
0 0:14:56, ,3.50,50.12,-501.20, ,11.40,31.16,-311.60, ,3.80,24.92,249.20
0 0:15:4, ,3.50,50.08,-500.80, ,11.40,31.16,-311.60, ,3.81,24.96,249.60
0 0:15:12, ,3.50,50.04,-500.40, ,11.40,31.12,-311.20, ,3.80,24.92,249.20
0 0:15:20, ,3.50,50.00,-500.00, ,11.40,31.12,-311.20, ,3.81,24.92,249.20
0 0:15:28, ,3.50,49.96,-499.60, ,11.40,31.08,-310.80, ,3.81,24.96,249.60
0 0:15:36, ,3.50,49.92,-499.20, ,11.40,31.04,-310.40, ,3.80,24.92,249.20
