0 0:7:4, ,3.83,68.16,-681.60, ,11.67,28.68,-286.80, ,0.00,0.00,0.00
0 0:7:12, ,3.83,68.04,-680.40, ,11.67,28.52,-285.20, ,0.00,0.00,0.00
0 0:7:20, ,3.83,67.80,-678.00, ,11.67,28.36,-283.60, ,0.00,0.00,0.00
0 0:7:28, ,3.83,67.68,-676.80, ,11.68,28.28,-282.80, ,0.00,0.00,0.00
0 0:7:36, ,3.83,67.60,-676.00, ,11.68,28.24,-282.40, ,0.00,0.00,0.00
0 0:7:44, ,3.83,67.52,-675.20, ,11.68,28.20,-282.00, ,0.00,0.00,0.00
0 0:7:52, ,3.84,67.44,-674.40, ,11.68,28.16,-281.60, ,0.00,0.00,0.00
0 0:8:0, ,3.84,67.36,-673.60, ,11.68,28.12,-281.20, ,0.00,0.00,0.00
0 0:8:8, ,3.84,67.32,-673.20, ,11.68,28.12,-281.20, ,0.00,0.00,0.00
0 0:8:16, ,3.84,67.28,-672.80, ,11.68,28.12,-281.20, ,0.00,0.00,0.00
0 0:8:24, ,3.84,67.20,-672.00, ,11.68,28.08,-280.80, ,0.00,0.00,0.00
0 0:8:32, ,3.84,67.16,-671.60, ,11.68,28.08,-280.80, ,0.00,0.00,0.00
0 0:8:40, ,3.84,67.12,-671.20, ,11.68,28.04,-280.40, ,0.00,0.00,0.00
0 0:8:48, ,3.84,67.04,-670.40, ,11.68,28.04,-280.40, ,0.00,0.00,0.00
0 0:8:56, ,3.84,67.00,-670.00, ,11.68,28.00,-280.00, ,0.00,0.00,0.00
0 0:9:4, ,3.84,66.96,-669.60, ,11.68,28.00,-280.00, ,0.00,0.00,0.00
0 0:9:12, ,3.84,66.92,-669.20, ,11.68,27.96,-279.60, ,0.00,0.00,0.00
0 0:9:20, ,3.84,66.84,-668.40, ,11.68,27.96,-279.60, ,0.00,0.00,0.00
0 0:9:28, ,3.84,66.80,-668.00, ,11.68,27.92,-279.20, ,0.00,0.00,0.00
0 0:9:36, ,3.84,66.80,-668.00, ,11.68,27.92,-279.20, ,0.00,0.00,0.00
0 0:9:44, ,3.84,66.72,-667.20, ,11.68,27.88,-278.80, ,0.00,0.00,0.00
0 0:9:52, ,3.84,66.68,-666.80, ,11.68,27.88,-278.80, ,0.00,0.00,0.00
0 0:10:0, ,3.84,66.64,-666.40, ,11.68,27.84,-278.40, ,0.00,0.00,0.00
0 0:10:8, ,3.84,66.60,-666.00, ,11.68,27.84,-278.40, ,0.00,0.00,0.00
0 0:10:16, ,3.84,66.52,-665.20, ,11.68,27.80,-278.00, ,0.00,0.00,0.00
0 0:10:24, ,3.84,66.48,-664.80, ,11.68,27.80,-278.00, ,0.00,0.00,0.00
0 0:10:32, ,3.84,66.44,-664.40, ,11.68,27.76,-277.60, ,0.00,0.00,0.00
0 0:10:40, ,3.84,66.44,-664.40, ,11.68,27.76,-277.60, ,0.00,0.00,0.00
0 0:10:48, ,3.84,66.40,-664.00, ,11.68,27.76,-277.60, ,0.00,0.00,0.00
0 0:10:56, ,3.84,66.36,-663.60, ,11.68,27.72,-277.20, ,0.00,0.00,0.00
0 0:11:4, ,3.84,66.28,-662.80, ,11.69,27.72,-277.20, ,0.00,0.00,0.00
0 0:11:12, ,3.84,66.24,-662.40, ,11.69,27.68,-276.80, ,0.00,0.00,0.00
0 0:11:20, ,3.85,66.20,-662.00, ,11.69,27.68,-276.80, ,0.00,0.00,0.00
0 0:11:28, ,3.85,66.16,-661.60, ,11.69,27.68,-276.80, ,0.00,0.00,0.00
0 0:11:36, ,3.85,66.16,-661.60, ,11.69,27.64,-276.40, ,0.00,0.00,0.00
0 0:11:44, ,3.85,66.12,-661.20, ,11.69,27.64,-276.40, ,0.00,0.00,0.00
0 0:11:52, ,3.85,66.08,-660.80, ,11.69,27.64,-276.40, ,0.00,0.00,0.00
0 0:12:0, ,3.85,66.04,-660.40, ,11.69,27.60,-276.00, ,0.00,0.00,0.00
0 0:12:8, ,3.85,66.00,-660.00, ,11.69,27.60,-276.00, ,0.00,0.00,0.00
0 0:12:16, ,3.85,65.92,-659.20, ,11.69,27.56,-275.60, ,0.00,0.00,0.00
0 0:12:24, ,3.85,65.88,-658.80, ,11.69,27.56,-275.60, ,0.00,0.00,0.00
0 0:12:32, ,3.85,65.84,-658.40, ,11.69,27.52,-275.20, ,0.00,0.00,0.00
0 0:12:40, ,3.85,65.80,-658.00, ,11.69,27.52,-275.20, ,0.00,0.00,0.00
0 0:12:48, ,3.85,65.76,-657.60, ,11.69,27.48,-274.80, ,0.00,0.00,0.00
0 0:12:56, ,3.85,65.68,-656.80, ,11.69,27.48,-274.80, ,0.00,0.00,0.00
0 0:13:4, ,3.85,65.64,-656.40, ,11.69,27.44,-274.40, ,0.00,0.00,0.00
0 0:13:12, ,3.85,65.60,-656.00, ,11.69,27.44,-274.40, ,0.00,0.00,0.00
0 0:13:20, ,3.85,65.56,-655.60, ,11.69,27.40,-274.00, ,0.00,0.00,0.00
0 0:13:28, ,3.85,65.52,-655.20, ,11.69,27.40,-274.00, ,0.00,0.00,0.00
