0 0:5:52, ,3.79,-1.36,3.79,13.60, ,0.02,0.00,0.02,0.00, ,5.02,0.92,5.02,9.20
0 0:6:0, ,3.79,-1.36,3.79,13.60, ,0.06,0.00,0.06,0.00, ,5.02,0.92,5.02,9.20
0 0:6:8, ,3.79,-1.36,3.79,13.60, ,0.04,0.00,0.04,0.00, ,5.02,0.92,5.02,9.20
0 0:6:16, ,3.79,-1.36,3.79,13.60, ,0.02,0.00,0.02,0.00, ,5.02,0.92,5.02,9.20
0 0:6:24, ,3.79,-1.36,3.79,13.60, ,0.06,0.00,0.06,0.00, ,5.02,0.92,5.02,9.20
0 0:6:32, ,3.79,-1.36,3.79,13.60, ,0.02,0.00,0.02,0.00, ,5.02,0.92,5.02,9.20
0 0:6:40, ,3.79,-1.36,3.79,13.60, ,0.03,0.00,0.03,0.00, ,5.02,0.92,5.02,9.20
0 0:6:48, ,3.79,-1.36,3.79,13.60, ,0.04,0.00,0.04,0.00, ,5.02,0.92,5.02,9.20
0 0:6:56, ,3.79,-1.36,3.79,13.60, ,0.06,0.00,0.06,0.00, ,5.02,0.92,5.02,9.20
0 0:7:4, ,3.79,-1.36,3.79,13.60, ,0.02,0.00,0.02,0.00, ,5.02,0.92,5.02,9.20
0 0:7:12, ,3.79,-1.36,3.79,13.60, ,0.02,0.00,0.02,0.00, ,5.02,0.92,5.02,9.20
0 0:7:20, ,3.79,-1.36,3.79,13.60, ,0.02,0.00,0.02,0.00, ,5.02,0.92,5.02,9.20
0 0:7:28, ,3.79,-1.36,3.79,13.60, ,0.02,0.00,0.02,0.00, ,5.02,0.92,5.02,9.20
0 0:7:36, ,3.79,-1.36,3.79,13.60, ,0.05,0.00,0.05,0.00, ,5.02,0.92,5.02,9.20
0 0:7:44, ,3.79,-1.36,3.79,13.60, ,0.01,0.00,0.01,0.00, ,5.02,0.92,5.02,9.20
0 0:7:52, ,3.79,-1.36,3.79,13.60, ,0.05,0.00,0.05,0.00, ,5.02,0.92,5.02,9.20
0 0:8:0, ,3.79,-1.36,3.79,13.60, ,0.00,0.00,0.00,0.00, ,5.02,0.92,5.02,9.20
0 0:8:8, ,3.79,-1.36,3.79,13.60, ,0.06,0.00,0.06,0.00, ,5.02,0.92,5.02,9.20
0 0:8:16, ,3.79,-1.36,3.79,13.60, ,0.00,0.00,0.00,0.00, ,5.02,0.92,5.02,9.20
0 0:8:24, ,3.79,-1.36,3.79,13.60, ,0.04,0.00,0.04,0.00, ,5.02,0.92,5.02,9.20
0 0:8:32, ,3.79,-1.36,3.79,13.60, ,0.04,0.00,0.04,0.00, ,5.02,0.92,5.02,9.20
0 0:8:40, ,3.79,-1.36,3.79,13.60, ,0.02,0.00,0.02,0.00, ,5.02,0.92,5.02,9.20
0 0:8:48, ,3.79,-1.36,3.79,13.60, ,0.06,0.00,0.06,0.00, ,5.02,0.92,5.02,9.20
0 0:8:56, ,3.79,-1.36,3.79,13.60, ,0.03,0.00,0.03,0.00, ,5.02,0.92,5.02,9.20
0 0:9:4, ,3.79,-1.36,3.79,13.60, ,0.00,0.00,0.00,0.00, ,5.02,0.92,5.02,9.20
0 0:9:12, ,3.79,-1.36,3.79,13.60, ,0.02,0.00,0.02,0.00, ,5.02,0.92,5.02,9.20
0 0:9:20, ,3.79,-1.36,3.79,13.60, ,0.06,0.00,0.06,0.00, ,5.02,0.92,5.02,9.20
0 0:9:28, ,3.79,-1.36,3.79,13.60, ,0.03,0.00,0.03,0.00, ,5.02,0.92,5.02,9.20
0 0:9:36, ,3.79,-1.36,3.79,13.60, ,0.01,0.00,0.01,0.00, ,5.02,0.92,5.02,9.20
0 0:9:44, ,3.79,-1.36,3.79,13.60, ,0.02,0.00,0.02,0.00, ,5.02,0.92,5.02,9.20
0 0:9:52, ,3.79,-1.36,3.79,13.60, ,0.06,0.00,0.06,0.00, ,5.02,0.92,5.02,9.20
0 0:10:0, ,3.79,-1.36,3.79,13.60, ,0.05,0.00,0.05,0.00, ,5.02,0.92,5.02,9.20
0 0:10:8, ,3.79,-1.36,3.79,13.60, ,0.00,0.00,0.00,0.00, ,5.02,0.92,5.02,9.20
0 0:10:16, ,3.79,-1.36,3.79,13.60, ,0.02,0.00,0.02,0.00, ,5.02,0.92,5.02,9.20
0 0:10:24, ,3.79,-1.36,3.79,13.60, ,0.04,0.00,0.04,0.00, ,5.02,0.92,5.02,9.20
0 0:10:32, ,3.79,-1.36,3.79,13.60, ,0.02,0.00,0.02,0.00, ,5.02,0.92,5.02,9.20
0 0:10:40, ,3.79,-1.36,3.79,13.60, ,0.05,0.00,0.05,0.00, ,5.02,0.92,5.02,9.20
0 0:10:48, ,3.79,-1.36,3.79,13.60, ,0.02,0.00,0.02,0.00, ,5.02,0.92,5.02,9.20
0 0:10:56, ,3.79,-1.36,3.79,13.60, ,0.06,0.00,0.06,0.00, ,5.02,0.92,5.02,9.20
0 0:11:4, ,3.79,-1.36,3.79,13.60, ,0.02,0.00,0.02,0.00, ,5.02,0.92,5.02,9.20
0 0:11:12, ,3.79,-1.36,3.79,13.60, ,0.06,0.00,0.06,0.00, ,5.02,0.92,5.02,9.20
0 0:11:20, ,3.79,-1.36,3.79,13.60, ,0.02,0.00,0.02,0.00, ,5.02,0.92,5.02,9.20
0 0:11:28, ,3.79,-1.36,3.79,13.60, ,0.00,0.00,0.00,0.00, ,5.02,0.92,5.02,9.20
0 0:11:36, ,3.79,-1.36,3.79,13.60, ,0.04,0.00,0.04,0.00, ,5.02,0.92,5.02,9.20
0 0:11:44, ,3.79,-1.36,3.79,13.60, ,0.01,0.00,0.01,0.00, ,5.02,0.92,5.02,9.20
0 0:11:52, ,3.79,-1.36,3.79,13.60, ,0.04,0.00,0.04,0.00, ,5.02,0.92,5.02,9.20
0 0:12:0, ,3.79,-1.36,3.79,13.60, ,0.02,0.00,0.02,0.00, ,5.02,0.92,5.02,9.20
0 0:12:8, ,3.79,-1.36,3.79,13.60, ,0.00,0.00,0.00,0.00, ,5.02,0.92,5.02,9.20
0 0:12:16, ,3.79,-1.36,3.79,13.60, ,0.00,0.00,0.00,0.00, ,5.02,0.92,5.02,9.20
0 0:12:24, ,3.79,-1.36,3.79,13.60, ,0.00,0.00,0.00,0.00, ,5.02,0.92,5.02,9.20
0 0:12:32, ,3.79,-1.36,3.79,13.60, ,0.06,0.00,0.06,0.00, ,5.02,0.92,5.02,9.20
0 0:12:40, ,3.79,-1.36,3.79,13.60, ,0.02,0.00,0.02,0.00, ,5.02,0.92,5.02,9.20
0 0:12:48, ,3.79,-1.36,3.79,13.60, ,0.02,0.00,0.02,0.00, ,5.02,0.92,5.02,9.20
0 0:12:56, ,3.79,-1.36,3.79,13.60, ,0.00,0.00,0.00,0.00, ,5.02,0.92,5.02,9.20
0 0:13:4, ,3.79,-1.36,3.79,13.60, ,0.00,0.00,0.00,0.00, ,5.02,0.92,5.02,9.20
0 0:13:12, ,3.79,-1.36,3.79,13.60, ,0.02,0.00,0.02,0.00, ,5.02,0.92,5.02,9.20
0 0:13:20, ,3.79,-1.36,3.79,13.60, ,0.02,0.00,0.02,0.00, ,5.02,0.92,5.02,9.20
0 0:13:28, ,3.79,-1.36,3.79,13.60, ,0.05,0.00,0.05,0.00, ,5.02,0.92,5.02,9.20
0 0:13:36, ,3.79,-1.36,3.79,13.60, ,0.06,0.00,0.06,0.00, ,5.02,0.92,5.02,9.20
0 0:13:44, ,3.79,-1.36,3.79,13.60, ,0.04,0.00,0.04,0.00, ,5.02,0.92,5.02,9.20
0 0:13:52, ,3.79,-1.36,3.79,13.60, ,0.05,0.00,0.05,0.00, ,5.02,0.92,5.02,9.20
0 0:14:0, ,3.79,-1.36,3.79,13.60, ,0.00,0.00,0.00,0.00, ,5.02,0.92,5.02,9.20
0 0:14:8, ,3.79,-1.36,3.79,13.60, ,0.02,0.00,0.02,0.00, ,5.02,0.92,5.02,9.20
0 0:14:16, ,3.79,-1.36,3.79,13.60, ,0.06,0.00,0.06,0.00, ,5.02,0.92,5.02,9.20
0 0:14:24, ,3.79,-1.36,3.79,13.60, ,0.01,0.00,0.01,0.00, ,5.02,0.92,5.02,9.20
0 0:14:32, ,3.79,-1.36,3.79,13.60, ,0.00,0.00,0.00,0.00, ,5.02,0.92,5.02,9.20
0 0:14:40, ,3.79,-1.36,3.79,13.60, ,0.05,0.00,0.05,0.00, ,5.02,0.92,5.02,9.20
0 0:14:48, ,3.79,-1.36,3.79,13.60, ,0.05,0.00,0.05,0.00, ,5.02,0.92,5.02,9.20
0 0:14:56, ,3.79,-1.36,3.79,13.60, ,0.04,0.00,0.04,0.00, ,5.02,0.92,5.02,9.20
0 0:15:4, ,3.79,-1.36,3.79,13.60, ,0.02,0.00,0.02,0.00, ,5.02,0.92,5.02,9.20
0 0:15:12, ,3.79,-1.36,3.79,13.60, ,0.02,0.00,0.02,0.00, ,5.02,0.92,5.02,9.20
